,date,death_total
0,2020/05/09,613.0
1,2020/05/10,621.0
2,2020/05/11,643.0
3,2020/05/12,668.0
4,2020/05/13,687.0
5,2020/05/14,710.0
6,2020/05/15,725.0
7,2020/05/16,744.0
8,2020/05/17,749.0
9,2020/05/18,763.0
10,2020/05/19,771.0
11,2020/05/20,777.0
12,2020/05/21,796.0
13,2020/05/22,808.0
14,2020/05/23,820.0
15,2020/05/24,830.0
16,2020/05/25,846.0
17,2020/05/26,858.0
18,2020/05/27,867.0
19,2020/05/28,874.0
20,2020/05/29,886.0
21,2020/05/30,891.0
22,2020/05/31,892.0
23,2020/06/01,894.0
24,2020/06/02,900.0
25,2020/06/03,903.0
26,2020/06/04,907.0
27,2020/06/05,914.0
28,2020/06/06,916.0
29,2020/06/07,916.0
30,2020/06/08,916.0
31,2020/06/09,919.0
32,2020/06/10,920.0
33,2020/06/11,922.0
34,2020/06/12,924.0
35,2020/06/13,925.0
36,2020/06/14,925.0
37,2020/06/15,927.0
38,2020/06/16,931.0
39,2020/06/17,935.0
40,2020/06/18,935.0
41,2020/06/19,952.0
42,2020/06/20,953.0
43,2020/06/21,953.0
44,2020/06/22,955.0
45,2020/06/23,963.0
46,2020/06/24,967.0
47,2020/06/25,968.0
48,2020/06/26,970.0
49,2020/06/27,970.0
50,2020/06/28,971.0
51,2020/06/29,971.0
52,2020/06/30,973.0
53,2020/07/01,974.0
54,2020/07/02,975.0
55,2020/07/03,976.0
56,2020/07/04,976.0
57,2020/07/05,976.0
58,2020/07/06,977.0
59,2020/07/07,979.0
60,2020/07/08,980.0
61,2020/07/09,981.0
62,2020/07/10,981.0
63,2020/07/11,981.0
64,2020/07/12,981.0
65,2020/07/13,981.0
66,2020/07/14,983.0
67,2020/07/15,984.0
68,2020/07/16,984.0
69,2020/07/17,984.0
70,2020/07/18,984.0
71,2020/07/19,984.0
72,2020/07/20,987.0
73,2020/07/21,988.0
74,2020/07/22,989.0
75,2020/07/23,991.0
76,2020/07/24,992.0
77,2020/07/25,995.0
78,2020/07/26,995.0
79,2020/07/27,997.0
80,2020/07/28,1000.0
81,2020/07/29,1003.0
82,2020/07/30,1005.0
83,2020/07/31,1010.0
84,2020/08/01,1011.0
85,2020/08/02,1011.0
86,2020/08/03,1015.0
87,2020/08/04,1021.0
88,2020/08/05,1025.0
89,2020/08/06,1032.0
90,2020/08/07,1036.0
91,2020/08/08,1039.0
92,2020/08/09,1046.0
93,2020/08/10,1051.0
94,2020/08/11,1058.0
95,2020/08/12,1062.0
96,2020/08/13,1072.0
97,2020/08/14,1084.0
98,2020/08/15,1087.0
99,2020/08/16,1098.0
100,2020/08/17,1114.0
101,2020/08/18,1127.0
102,2020/08/19,1143.0
103,2020/08/20,1154.0
104,2020/08/21,1168.0
105,2020/08/22,1175.0
106,2020/08/23,1180.0
107,2020/08/24,1195.0
108,2020/08/25,1208.0
109,2020/08/26,1225.0
110,2020/08/27,1237.0
111,2020/08/28,1254.0
112,2020/08/29,1263.0
113,2020/08/30,1278.0
114,2020/08/31,1295.0
115,2020/09/01,1306.0
116,2020/09/02,1318.0
117,2020/09/03,1329.0
118,2020/09/04,1348.0
119,2020/09/05,1356.0
120,2020/09/06,1362.0
121,2020/09/07,1376.0
122,2020/09/08,1392.0
123,2020/09/09,1405.0
124,2020/09/10,1411.0
125,2020/09/11,1422.0
126,2020/09/12,1438.0
127,2020/09/13,1441.0
128,2020/09/14,1450.0
129,2020/09/15,1460.0
130,2020/09/16,1472.0
131,2020/09/17,1481.0
132,2020/09/18,1494.0
133,2020/09/19,1499.0
134,2020/09/20,1499.0
135,2020/09/21,1507.0
136,2020/09/22,1511.0
137,2020/09/23,1519.0
138,2020/09/24,1531.0
139,2020/09/25,1539.0
140,2020/09/26,1544.0
141,2020/09/27,1547.0
142,2020/09/28,1556.0
143,2020/09/29,1563.0
144,2020/09/30,1570.0
145,2020/10/01,1577.0
146,2020/10/02,1589.0
147,2020/10/03,1596.0
148,2020/10/04,1598.0
149,2020/10/05,1601.0
150,2020/10/06,1604.0
151,2020/10/07,1612.0
152,2020/10/08,1615.0
153,2020/10/09,1623.0
154,2020/10/10,1626.0
155,2020/10/11,1628.0
156,2020/10/12,1633.0
157,2020/10/13,1637.0
158,2020/10/14,1645.0
159,2020/10/15,1649.0
160,2020/10/16,1660.0
161,2020/10/17,1669.0
162,2020/10/18,1673.0
163,2020/10/19,1675.0
164,2020/10/20,1678.0
165,2020/10/21,1684.0
166,2020/10/22,1693.0
167,2020/10/23,1705.0
168,2020/10/24,1710.0
169,2020/10/25,1717.0
170,2020/10/26,1724.0
171,2020/10/27,1729.0
172,2020/10/28,1732.0
173,2020/10/29,1743.0
174,2020/10/30,1754.0
175,2020/10/31,1765.0
176,2020/11/01,1773.0
177,2020/11/02,1779.0
178,2020/11/03,1785.0
179,2020/11/04,1793.0
180,2020/11/05,1805.0
181,2020/11/06,1808.0
182,2020/11/07,1811.0
183,2020/11/08,1817.0
184,2020/11/09,1828.0
185,2020/11/10,1840.0
186,2020/11/11,1850.0
187,2020/11/12,1866.0
188,2020/11/13,1879.0
189,2020/11/14,1882.0
190,2020/11/15,1884.0
191,2020/11/16,1902.0
192,2020/11/17,1912.0
193,2020/11/18,1921.0
194,2020/11/19,1942.0
195,2020/11/20,1962.0
196,2020/11/21,1973.0
197,2020/11/22,1980.0
198,2020/11/23,1988.0
199,2020/11/24,2000.0
200,2020/11/25,2021.0
201,2020/11/26,2050.0
202,2020/11/27,2073.0
203,2020/11/28,2105.0
204,2020/11/29,2118.0
205,2020/11/30,2138.0
206,2020/12/01,2171.0
207,2020/12/02,2212.0
208,2020/12/03,2239.0
209,2020/12/04,2282.0
210,2020/12/05,2314.0
211,2020/12/06,2334.0
212,2020/12/07,2381.0
213,2020/12/08,2419.0
214,2020/12/09,2464.0
215,2020/12/10,2501.0
216,2020/12/11,2533.0
217,2020/12/12,2561.0
218,2020/12/13,2584.0
219,2020/12/14,2642.0
220,2020/12/15,2687.0
221,2020/12/16,2738.0
222,2020/12/17,2782.0
223,2020/12/18,2827.0
224,2020/12/19,2872.0
225,2020/12/20,2899.0
226,2020/12/21,2943.0
227,2020/12/22,2993.0
228,2020/12/23,3049.0
229,2020/12/24,3104.0
230,2020/12/25,3154.0
231,2020/12/26,3212.0
232,2020/12/27,3251.0
233,2020/12/28,3305.0
234,2020/12/29,3348.0
235,2020/12/30,3413.0
236,2020/12/31,3459.0
237,2021/01/01,3513.0
238,2021/01/02,3547.0
239,2021/01/03,3598.0
240,2021/01/04,3654.0
241,2021/01/05,3718.0
242,2021/01/06,3790.0
243,2021/01/07,3856.0
244,2021/01/08,3931.0
245,2021/01/09,3995.0
246,2021/01/10,4043.0
247,2021/01/11,4093.0
248,2021/01/12,4144.0
249,2021/01/13,4232.0
250,2021/01/14,4314.0
251,2021/01/15,4379.0
252,2021/01/16,4445.0
253,2021/01/17,4500.0
254,2021/01/18,4547.0
255,2021/01/19,4646.0
256,2021/01/20,4742.0
257,2021/01/21,4829.0
258,2021/01/22,4934.0
259,2021/01/23,5018.0
260,2021/01/24,5083.0
261,2021/01/25,5157.0
262,2021/01/26,5251.0
263,2021/01/27,5360.0
264,2021/01/28,5450.0
265,2021/01/29,5544.0
266,2021/01/30,5652.0
267,2021/01/31,5720.0
268,2021/02/01,5792.0
269,2021/02/02,5910.0
270,2021/02/03,6018.0
271,2021/02/04,6133.0
272,2021/02/05,6241.0
273,2021/02/06,6336.0
274,2021/02/07,6393.0
275,2021/02/08,6474.0
276,2021/02/09,6555.0
277,2021/02/10,6676.0
278,2021/02/11,6772.0
279,2021/02/12,6847.0
280,2021/02/13,6910.0
281,2021/02/14,6950.0
282,2021/02/15,7013.0
283,2021/02/16,7100.0
284,2021/02/17,7194.0
285,2021/02/18,7272.0
286,2021/02/19,7331.0
287,2021/02/20,7415.0
288,2021/02/21,7472.0
289,2021/02/22,7527.0
290,2021/02/23,7582.0
291,2021/02/24,7645.0
292,2021/02/25,7720.0
293,2021/02/26,7805.0
294,2021/02/27,7858.0
295,2021/02/28,7885.0
296,2021/03/01,7931.0
297,2021/03/02,7982.0
298,2021/03/03,8050.0
299,2021/03/04,8117.0
300,2021/03/05,8176.0
301,2021/03/06,8225.0
302,2021/03/07,8251.0
303,2021/03/08,8296.0
304,2021/03/09,8350.0
305,2021/03/10,8400.0
306,2021/03/11,8449.0
307,2021/03/12,8507.0
308,2021/03/13,8558.0
309,2021/03/14,8588.0
310,2021/03/15,8620.0
311,2021/03/16,8676.0
312,2021/03/17,8715.0
313,2021/03/18,8756.0
314,2021/03/19,8788.0
315,2021/03/20,8810.0
316,2021/03/21,8833.0
317,2021/03/22,8859.0
318,2021/03/23,8906.0
319,2021/03/24,8936.0
320,2021/03/25,8965.0
321,2021/03/26,8996.0
322,2021/03/27,9028.0
323,2021/03/28,9058.0
324,2021/03/29,9083.0
325,2021/03/30,9110.0
326,2021/03/31,9159.0
327,2021/04/01,9182.0
328,2021/04/02,9209.0
329,2021/04/03,9217.0
330,2021/04/04,9227.0
331,2021/04/05,9245.0
332,2021/04/06,9275.0
333,2021/04/07,9297.0
334,2021/04/08,9330.0
335,2021/04/09,9350.0
336,2021/04/10,9379.0
337,2021/04/11,9397.0
338,2021/04/12,9422.0
339,2021/04/13,9466.0
340,2021/04/14,9497.0
341,2021/04/15,9535.0
342,2021/04/16,9581.0
343,2021/04/17,9619.0
344,2021/04/18,9638.0
345,2021/04/19,9668.0
346,2021/04/20,9707.0
347,2021/04/21,9761.0
348,2021/04/22,9797.0
349,2021/04/23,9851.0
350,2021/04/24,9910.0
351,2021/04/25,9969.0
352,2021/04/26,10001.0
353,2021/04/27,10052.0
354,2021/04/28,10104.0
355,2021/04/29,10191.0
356,2021/04/30,10226.0
357,2021/05/01,10293.0
358,2021/05/02,10358.0
359,2021/05/03,10416.0
360,2021/05/04,10466.0
361,2021/05/05,10513.0
362,2021/05/06,10585.0
363,2021/05/07,10698.0
364,2021/05/08,10819.0
365,2021/05/09,10872.0
366,2021/05/10,10937.0
367,2021/05/11,11060.0
368,2021/05/12,11161.0
369,2021/05/13,11251.0
370,2021/05/14,11361.0
371,2021/05/15,11459.0
372,2021/05/16,11504.0
373,2021/05/17,11620.0
374,2021/05/18,11848.0
375,2021/05/19,11939.0
376,2021/05/20,12049.0
377,2021/05/21,12158.0
378,2021/05/22,12246.0
379,2021/05/23,12308.0
380,2021/05/24,12394.0
381,2021/05/25,12492.0
382,2021/05/26,12597.0
383,2021/05/27,12710.0
384,2021/05/28,12816.0
385,2021/05/29,12917.0
386,2021/05/30,12964.0
387,2021/05/31,13045.0
388,2021/06/01,13136.0
389,2021/06/02,13241.0
390,2021/06/03,13360.0
391,2021/06/04,13445.0
392,2021/06/05,13519.0
393,2021/06/06,13570.0
394,2021/06/07,13641.0
395,2021/06/08,13739.0
396,2021/06/09,13837.0
397,2021/06/10,13903.0
398,2021/06/11,13972.0
399,2021/06/12,14028.0
400,2021/06/13,14066.0
401,2021/06/14,14121.0
402,2021/06/15,14182.0
403,2021/06/16,14264.0
404,2021/06/17,14315.0
405,2021/06/18,14360.0
406,2021/06/19,14394.0
407,2021/06/20,14417.0
408,2021/06/21,14449.0
409,2021/06/22,14491.0
410,2021/06/23,14548.0
411,2021/06/24,14593.0
412,2021/06/25,14621.0
413,2021/06/26,14652.0
414,2021/06/27,14665.0
415,2021/06/28,14700.0
416,2021/06/29,14735.0
417,2021/06/30,14776.0
418,2021/07/01,14797.0
419,2021/07/02,14819.0
420,2021/07/03,14837.0
421,2021/07/04,14843.0
422,2021/07/05,14857.0
423,2021/07/06,14879.0
424,2021/07/07,14892.0
425,2021/07/08,14912.0
426,2021/07/09,14928.0
427,2021/07/10,14943.0
428,2021/07/11,14950.0
429,2021/07/12,14954.0
430,2021/07/13,14966.0
431,2021/07/14,14985.0
432,2021/07/15,15009.0
433,2021/07/16,15022.0
434,2021/07/17,15035.0
435,2021/07/18,15043.0
436,2021/07/19,15055.0
437,2021/07/20,15074.0
438,2021/07/21,15092.0
439,2021/07/22,15101.0
440,2021/07/23,15110.0
441,2021/07/24,15118.0
442,2021/07/25,15123.0
443,2021/07/26,15131.0
444,2021/07/27,15145.0
445,2021/07/28,15153.0
446,2021/07/29,15166.0
447,2021/07/30,15177.0
448,2021/07/31,15185.0
449,2021/08/01,15190.0
450,2021/08/02,15197.0
451,2021/08/03,15212.0
452,2021/08/04,15221.0
453,2021/08/05,15233.0
454,2021/08/06,15248.0
455,2021/08/07,15266.0
456,2021/08/08,15273.0
457,2021/08/09,15290.0
458,2021/08/10,15304.0
459,2021/08/11,15323.0
460,2021/08/12,15351.0
461,2021/08/13,15376.0
462,2021/08/14,15393.0
